text,Titles
Normandy,the_mother_recompense
Baltimore,the_mother_recompense
Harvard,the_mother_recompense
New York,the_mother_recompense
St. Jean - de - Luz,the_mother_recompense
Bordighera,the_mother_recompense
Dinard,the_mother_recompense
America,the_mother_recompense
Canada,the_mother_recompense
Quebec,the_mother_recompense
France,the_mother_recompense
Brooklyn,the_mother_recompense
Bridgeport,the_mother_recompense
San Francisco,the_mother_recompense
Philadelphia,the_mother_recompense
Albany,the_mother_recompense
Taormina,the_mother_recompense
Undergrounds,the_mother_recompense
Elevateds,the_mother_recompense
Paris,the_mother_recompense
Spain,the_mother_recompense
Italy,the_mother_recompense
Rome,the_mother_recompense
Bethesda,the_mother_recompense
New _ York,the_mother_recompense
Meridia,the_mother_recompense
Europe,the_mother_recompense
Brooklyn Bridge,the_mother_recompense
Lilla,the_mother_recompense
Washington,the_mother_recompense
Long Island,the_mother_recompense
Belleau Wood,the_mother_recompense
Rock Creek,the_mother_recompense
South Carolina,the_mother_recompense
Aubusson,the_mother_recompense
Anne,the_mother_recompense
Fifth Avenue,the_mother_recompense
Rio,the_mother_recompense
Marseilles,the_mother_recompense
Egypt,the_mother_recompense
Crete,the_mother_recompense
Chicago,the_mother_recompense
Hempstead,the_mother_recompense
Madgeâ€™s--,the_mother_recompense
St. Stephen,the_mother_recompense
D.S.M.,the_mother_recompense
Meridia--,the_mother_recompense
Florida,the_mother_recompense
India,the_mother_recompense
Suez,the_mother_recompense
Liverpool,the_mother_recompense
Mimosa,the_mother_recompense
Anaconda,the_mother_recompense
Georgia,the_mother_recompense
